finding_id,detected_type,regex_confidence,value_length,entropy,entropy_level,has_live_prefix,has_test_prefix,looks_like_placeholder,file_role,environment_hint,is_prod_path,is_test_path,is_docs_path,is_config_file,variable_intent,has_secret_variable_name,has_example_language,has_placeholder_language,has_test_language,storage_exposure,asset_criticality,customer_vertical,structurally_valid,luhn_valid,is_known_test_value,is_public_by_design,label,is_true_secret
evenup_finding_0025,email,medium,28,4.18,high,0,0,1,test,test,0,1,0,0,example,0,1,0,1,internal,medium,fintech-legal-hybrid,1,1,0,0,documentation_example,0
evenup_finding_0026,email,medium,28,4.18,high,0,0,1,test,test,0,1,0,0,example,0,1,0,1,internal,medium,fintech-legal-hybrid,1,1,0,0,documentation_example,0
evenup_finding_0027,email,medium,28,4.18,high,0,0,1,test,test,0,1,0,0,example,0,1,0,1,internal,medium,fintech-legal-hybrid,1,1,0,0,documentation_example,0
evenup_finding_0028,phi,medium,5,1.92,low,0,0,0,source_code,unknown,0,0,0,0,unknown,0,0,0,1,internal,medium,fintech-legal-hybrid,1,1,0,0,false_positive,0
evenup_finding_0029,phi,medium,5,1.92,low,0,0,0,source_code,unknown,0,0,0,0,unknown,0,0,0,1,internal,medium,fintech-legal-hybrid,1,1,0,0,false_positive,0
evenup_finding_0030,pii,medium,11,0.68,low,0,0,1,test,test,0,1,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0031,phi,medium,11,1.28,low,0,0,1,test,test,0,1,0,1,example,0,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0032,pii,medium,11,0.68,low,0,0,1,test,test,0,1,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0033,phi,medium,11,1.28,low,0,0,1,test,test,0,1,0,1,example,0,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0034,pii,medium,11,0.68,low,0,0,1,test,test,0,1,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0035,phi,medium,11,1.28,low,0,0,1,test,test,0,1,0,1,example,0,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0036,pii,medium,11,0.68,low,0,0,1,test,test,0,1,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0037,phi,medium,11,1.28,low,0,0,1,test,test,0,1,0,1,example,0,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0038,database_password,medium,18,3.42,medium,0,0,1,iac,unknown,0,0,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0039,api_key,medium,8,2.75,low,0,0,1,iac,unknown,0,0,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0040,api_key,medium,17,3.45,medium,0,0,1,iac,unknown,0,0,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0041,database_password,medium,18,3.42,medium,0,0,1,iac,unknown,0,0,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0042,api_key,medium,8,2.75,low,0,0,1,iac,unknown,0,0,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0043,api_key,medium,17,3.45,medium,0,0,1,iac,unknown,0,0,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0044,database_password,medium,18,3.42,medium,0,0,1,iac,unknown,0,0,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0045,api_key,medium,8,2.75,low,0,0,1,iac,unknown,0,0,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0046,api_key,medium,17,3.45,medium,0,0,1,iac,unknown,0,0,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,1,1,0,0,placeholder,0
evenup_finding_0047,pii,high,11,2.66,low,0,0,0,log,prod,1,0,0,0,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0048,phi,high,11,3.10,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0049,phi,high,10,2.12,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0050,phi,high,12,3.02,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0051,database_password,high,123,5.04,high,0,0,0,log,prod,1,0,0,0,public,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0052,pii,high,11,2.12,low,0,0,0,log,prod,1,0,0,0,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0053,phi,high,11,3.10,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0054,phi,high,10,2.52,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0055,phi,high,12,2.86,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0056,database_password,high,123,4.99,high,0,0,0,log,prod,1,0,0,0,public,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0057,pii,high,11,2.73,low,0,0,0,log,prod,1,0,0,0,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0058,phi,high,11,3.03,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0059,phi,high,10,2.72,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0060,phi,high,12,2.86,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0061,database_password,high,123,5.08,high,0,0,0,log,prod,1,0,0,0,public,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0062,pii,high,11,2.73,low,0,0,0,log,prod,1,0,0,0,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0063,phi,high,11,3.28,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0064,phi,high,10,2.45,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0065,phi,high,12,3.25,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0066,database_password,high,123,5.01,high,0,0,0,log,prod,1,0,0,0,public,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0067,pii,high,11,2.55,low,0,0,0,log,prod,1,0,0,0,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0068,phi,high,11,2.73,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0069,phi,high,10,2.65,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0070,phi,high,12,2.69,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0071,database_password,high,123,4.92,high,0,0,0,log,prod,1,0,0,0,public,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0072,pii,high,11,2.91,low,0,0,0,log,prod,1,0,0,0,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0073,phi,high,11,3.10,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0074,phi,high,10,2.72,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0075,phi,high,12,3.02,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0076,database_password,high,123,5.03,high,0,0,0,log,prod,1,0,0,0,public,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0077,pii,high,11,2.66,low,0,0,0,log,prod,1,0,0,0,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0078,phi,high,11,3.28,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0079,phi,high,10,2.45,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0080,phi,high,12,2.75,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0081,database_password,high,123,5.02,high,0,0,0,log,prod,1,0,0,0,public,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0082,cloud_key,high,20,3.55,medium,1,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0083,cloud_key,high,40,4.85,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0084,database_password,high,125,5.05,high,0,0,0,iac,prod,1,0,0,1,public,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0085,api_key,high,177,5.70,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0086,payment_secret,high,32,4.60,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0087,cloud_key,high,20,4.12,high,1,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0088,cloud_key,high,40,4.73,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0089,database_password,high,125,5.06,high,0,0,0,iac,prod,1,0,0,1,public,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0090,api_key,high,177,5.75,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0091,payment_secret,high,32,4.56,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0092,cloud_key,high,20,4.02,high,1,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0093,cloud_key,high,40,4.90,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0094,database_password,high,125,5.02,high,0,0,0,iac,prod,1,0,0,1,public,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0095,api_key,high,177,5.75,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0096,payment_secret,high,32,4.54,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0097,payment_secret,low,24,1.83,low,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,false_positive,0
evenup_finding_0098,database_password,low,125,5.55,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,false_positive,0
evenup_finding_0099,payment_secret,low,24,1.83,low,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,false_positive,0
evenup_finding_0100,database_password,low,125,5.62,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,false_positive,0
evenup_finding_0101,payment_secret,low,24,1.83,low,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,false_positive,0
evenup_finding_0102,database_password,low,125,5.56,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,false_positive,0
evenup_finding_0103,pii,low,16,3.00,medium,0,0,0,production_config,prod,1,0,0,1,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,false_positive,0
evenup_finding_0104,api_key,high,48,5.01,high,0,0,0,iac,prod,1,0,0,1,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0105,api_key,high,40,4.87,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0106,api_key,high,48,5.01,high,0,0,0,iac,prod,1,0,0,1,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0107,api_key,high,40,4.83,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0108,api_key,high,48,4.74,high,0,0,0,iac,prod,1,0,0,1,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0109,api_key,high,40,4.90,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0110,pii,low,16,3.00,medium,0,0,0,production_config,prod,1,0,0,1,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,false_positive,0
evenup_finding_0111,cloud_key,medium,20,3.68,medium,1,0,0,production_config,prod,1,0,0,0,secret,1,1,0,1,internet,critical,fintech-legal-hybrid,1,1,1,0,test_value,0
evenup_finding_0112,payment_secret,medium,32,4.44,high,0,0,0,production_config,prod,1,0,0,0,secret,1,1,0,1,internet,critical,fintech-legal-hybrid,1,1,1,0,test_value,0
evenup_finding_0113,credit_card,medium,16,1.00,low,0,0,0,production_config,prod,1,0,0,0,unknown,0,1,0,1,internet,critical,fintech-legal-hybrid,1,1,1,0,test_value,0
evenup_finding_0114,email,medium,16,3.75,medium,0,0,1,production_config,prod,1,0,0,0,example,0,1,0,1,internet,critical,fintech-legal-hybrid,1,1,1,0,documentation_example,0
evenup_finding_0115,pii,medium,11,2.37,low,0,0,1,production_config,prod,1,0,0,0,example,0,1,0,1,internet,critical,fintech-legal-hybrid,1,1,1,0,documentation_example,0
evenup_finding_0116,cloud_key,medium,20,3.68,medium,1,0,0,production_config,prod,1,0,0,0,secret,1,1,0,1,internet,critical,fintech-legal-hybrid,1,1,1,0,test_value,0
evenup_finding_0117,payment_secret,medium,32,4.45,high,0,0,0,production_config,prod,1,0,0,0,secret,1,1,0,1,internet,critical,fintech-legal-hybrid,1,1,1,0,test_value,0
evenup_finding_0118,credit_card,medium,16,1.00,low,0,0,0,production_config,prod,1,0,0,0,unknown,0,1,0,1,internet,critical,fintech-legal-hybrid,1,1,1,0,test_value,0
evenup_finding_0119,email,medium,16,3.33,medium,0,0,1,production_config,prod,1,0,0,0,example,0,1,0,1,internet,critical,fintech-legal-hybrid,1,1,1,0,documentation_example,0
evenup_finding_0120,pii,medium,11,2.12,low,0,0,1,production_config,prod,1,0,0,0,example,0,1,0,1,internet,critical,fintech-legal-hybrid,1,1,1,0,documentation_example,0
evenup_finding_0121,payment_secret,high,32,4.45,high,0,0,0,production_config,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0122,payment_secret,high,32,4.69,high,0,0,0,production_config,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0123,pii,low,16,3.00,medium,0,0,0,production_config,prod,1,0,0,1,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,false_positive,0
evenup_finding_0124,pii,low,16,3.00,medium,0,0,0,production_config,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,false_positive,0
evenup_finding_0125,pii,low,16,3.00,medium,0,0,0,production_config,prod,1,0,0,1,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,false_positive,0
evenup_finding_0126,credit_card,low,16,3.08,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,0,0,0,0,false_positive,0
evenup_finding_0127,api_key,low,36,3.86,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,false_positive,0
evenup_finding_0128,credit_card,low,16,2.75,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,0,0,0,0,false_positive,0
evenup_finding_0129,api_key,low,36,3.83,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,false_positive,0
evenup_finding_0130,credit_card,low,16,2.91,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,0,0,0,0,false_positive,0
evenup_finding_0131,api_key,low,36,3.78,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,false_positive,0
evenup_finding_0132,credit_card,low,16,2.70,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,0,0,0,0,false_positive,0
evenup_finding_0133,api_key,low,36,3.66,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,0,false_positive,0
evenup_finding_0134,api_key,low,32,4.50,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,1,public_non_secret,0
evenup_finding_0135,cloud_key,low,12,2.86,low,0,0,0,iac,prod,1,0,0,1,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,1,public_non_secret,0
evenup_finding_0136,url,low,36,3.85,medium,0,0,0,iac,prod,1,0,0,1,public,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,1,public_non_secret,0
evenup_finding_0137,api_key,low,32,4.60,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,1,public_non_secret,0
evenup_finding_0138,cloud_key,low,12,2.75,low,0,0,0,iac,prod,1,0,0,1,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,1,public_non_secret,0
evenup_finding_0139,url,low,36,3.85,medium,0,0,0,iac,prod,1,0,0,1,public,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,1,public_non_secret,0
evenup_finding_0140,api_key,low,32,4.75,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,1,public_non_secret,0
evenup_finding_0141,cloud_key,low,12,2.75,low,0,0,0,iac,prod,1,0,0,1,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,1,public_non_secret,0
evenup_finding_0142,url,low,36,3.98,medium,0,0,0,iac,prod,1,0,0,1,public,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,1,public_non_secret,0
evenup_finding_0143,api_key,low,32,4.41,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,1,public_non_secret,0
evenup_finding_0144,cloud_key,low,12,2.69,low,0,0,0,iac,prod,1,0,0,1,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,1,public_non_secret,0
evenup_finding_0145,url,low,37,4.03,high,0,0,0,iac,prod,1,0,0,1,public,0,0,0,0,internet,critical,fintech-legal-hybrid,1,1,0,1,public_non_secret,0
evenup_finding_0146,pii,high,11,2.73,low,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0147,financial,high,22,3.21,medium,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0148,financial,high,9,2.42,low,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0149,api_key,high,48,4.93,high,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0150,pii,high,11,2.91,low,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0151,financial,high,22,3.33,medium,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0152,financial,high,9,2.42,low,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0153,api_key,high,48,5.04,high,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
evenup_finding_0154,pii,high,11,2.66,low,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,1,1,0,0,true_secret,1
